KNU_ID,KNOT_ID,KNU_Type,Artifact_Class,Expected_Location,Acceptance_Criteria,Verification_Method,Owner_AoR,Due_Date,Status,Effort_Predicted
KNU-GAIA-DPP-96-REQ-001,KNOT-GAIA-DPP-96-001,REQ,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC02_SYSTEM_REQUIREMENTS/,DPP schema field set baselined with mandatory/optional classification,Review,STK_SE,2026-06-30,PLANNED,8
KNU-GAIA-DPP-96-ANA-001,KNOT-GAIA-DPP-96-001,ANA,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC05_ANALYSIS_MODELS/,DPP schema validated against EU ESPR baseline and GAIA component taxonomy,Inspection,STK_SE,2026-07-15,PLANNED,13
KNU-GAIA-DPP-96-REQ-002,KNOT-GAIA-DPP-96-002,REQ,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC02_SYSTEM_REQUIREMENTS/,Ledger throughput latency and integrity requirements specified,Review,STK_SE,2026-07-31,PLANNED,8
KNU-GAIA-DPP-96-ANA-002,KNOT-GAIA-DPP-96-002,ANA,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC05_ANALYSIS_MODELS/,Hash-chain vs DAG trade study complete with integrity-performance Pareto,Inspection,STK_SE,2026-08-15,PLANNED,21
KNU-GAIA-DPP-96-REQ-003,KNOT-GAIA-DPP-96-003,REQ,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC02_SYSTEM_REQUIREMENTS/,Provenance data capture points and mandatory attestation fields specified,Review,STK_SE,2026-08-31,PLANNED,5
KNU-GAIA-DPP-96-DES-001,KNOT-GAIA-DPP-96-003,DES,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC04_DESIGN_DEFINITION/,Provenance ingestion pipeline and material-certificate parser defined,Review,STK_SE,2026-09-15,PLANNED,13
KNU-GAIA-DPP-96-SAF-001,KNOT-GAIA-DPP-96-004,SAF,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC03_SAFETY_RELIABILITY/,Lifecycle event recording FMEA and data-integrity failure modes analysis complete,Review,STK_SAF,2026-06-30,PLANNED,13
KNU-GAIA-DPP-96-VER-001,KNOT-GAIA-DPP-96-004,VER,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC06_VERIFICATION/,Event recording verification plan covering all event types approved,Review,STK_TEST,2026-07-15,PLANNED,8
KNU-GAIA-DPP-96-ANA-003,KNOT-GAIA-DPP-96-005,ANA,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC05_ANALYSIS_MODELS/,Cross-domain DPP data-flow model per subsystem interface,Inspection,STK_SE,2026-09-30,PLANNED,13
KNU-GAIA-DPP-96-REQ-004,KNOT-GAIA-DPP-96-005,REQ,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC02_SYSTEM_REQUIREMENTS/,API contract requirements traced to AGGIX URI scheme and subsystem manifest,Review,STK_SE,2026-10-15,PLANNED,5
KNU-GAIA-DPP-96-SAF-002,KNOT-GAIA-DPP-96-006,SAF,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC03_SAFETY_RELIABILITY/,Audit trail tamper-evidence and export-control classification FMEA complete,Review,STK_SAF,2026-10-31,PLANNED,13
KNU-GAIA-DPP-96-OPS-001,KNOT-GAIA-DPP-96-006,OPS,SSOT,NN_96-traceability-dpp-ledger/96-00-general/SSOT/LC10_OPERATIONS/,Compliance reporting procedures validated against ITAR/EAR and EU ESPR audit scenarios,Test,STK_OPS,2026-11-15,PLANNED,13
